performance_metric_3,unit_serial_number,process_end_date
19.067999999999998,Unit_321,2022-06-06 7:02
18.857999999999997,Unit_322,2022-06-06 8:39
18.942,Unit_323,2022-06-06 6:21
19.32,Unit_324,2022-06-06 18:48
18.984,Unit_325,2022-06-06 19:57
19.235999999999997,Unit_326,2022-02-24 21:08
18.816,Unit_327,2022-02-25 7:09
18.689999999999998,Unit_328,2022-06-07 14:39
18.774,Unit_329,2022-02-26 4:23
19.067999999999998,Unit_330,2022-06-07 17:42
18.689999999999998,Unit_331,2022-02-26 11:22
19.067999999999998,Unit_332,2022-06-08 3:44
18.48,Unit_333,2022-06-08 17:25
19.067999999999998,Unit_334,2022-06-08 18:28
18.816,Unit_335,2022-06-08 16:56
18.984,Unit_336,2022-06-08 19:58
18.564,Unit_337,2022-06-08 20:04
18.942,Unit_338,2022-06-08 20:13
19.278,Unit_339,2022-06-08 21:49
18.816,Unit_340,2022-06-08 23:20
19.235999999999997,Unit_341,2022-06-09 7:24
19.278,Unit_342,2022-06-09 7:10
19.194,Unit_343,2022-06-09 10:13
19.32,Unit_344,2022-06-09 10:52
19.152,Unit_345,2022-06-09 10:50
19.067999999999998,Unit_346,2022-06-09 16:34
19.11,Unit_347,2022-06-11 13:46
18.732,Unit_348,2022-06-15 15:16
19.194,Unit_349,2022-06-15 14:35
18.816,Unit_350,2022-06-15 17:11
18.732,Unit_351,2022-06-15 19:07
19.404,Unit_352,2022-06-15 20:41
19.278,Unit_353,2022-06-15 21:59
18.689999999999998,Unit_354,2022-06-15 22:05
19.32,Unit_355,2022-06-15 23:01
18.395999999999997,Unit_356,2022-06-15 23:01
18.395999999999997,Unit_357,2022-06-16 0:37
19.067999999999998,Unit_358,2022-06-16 1:32
18.816,Unit_359,2022-06-16 1:23
18.774,Unit_360,2022-06-16 2:11
19.278,Unit_361,2022-06-16 4:21
18.648,Unit_362,2022-05-06 5:39
19.235999999999997,Unit_363,2022-05-15 11:25
18.48,Unit_364,2022-05-03 0:37
18.942,Unit_365,2022-05-01 23:27
18.732,Unit_366,2022-05-02 2:34
19.067999999999998,Unit_367,2022-05-02 6:32
19.026,Unit_368,2022-05-02 6:09
19.11,Unit_369,2022-05-03 21:04
18.774,Unit_370,2022-05-16 16:19
19.152,Unit_371,2022-05-17 11:31
19.235999999999997,Unit_372,2022-02-26 15:10
18.689999999999998,Unit_373,2022-02-26 12:35
18.438,Unit_374,2022-02-26 16:02
19.11,Unit_375,2022-02-27 6:46
19.194,Unit_376,2022-02-28 13:21
18.732,Unit_377,2022-03-03 15:48
18.438,Unit_378,2022-05-03 2:18
19.32,Unit_379,2022-05-02 17:45
18.9,Unit_380,2022-05-06 2:02
18.564,Unit_381,2022-02-27 14:13
19.278,Unit_382,2022-04-28 10:58
19.152,Unit_383,2022-02-21 23:33
18.522,Unit_384,2022-02-22 7:18
18.689999999999998,Unit_385,2022-02-22 8:33
18.48,Unit_386,2022-05-01 23:07
18.732,Unit_387,2022-05-03 6:22
18.942,Unit_388,2022-02-21 19:42
18.564,Unit_389,2022-05-07 6:16
19.194,Unit_390,2022-04-29 4:29
19.152,Unit_391,2022-02-25 0:21
18.816,Unit_392,2022-02-23 9:29
18.857999999999997,Unit_393,2022-05-02 2:43
19.067999999999998,Unit_394,2022-05-03 4:20
19.194,Unit_395,2022-05-06 12:11
18.689999999999998,Unit_396,2022-05-05 21:11
19.067999999999998,Unit_397,2022-05-06 22:19
19.235999999999997,Unit_398,2022-06-16 21:14
18.605999999999998,Unit_399,2022-05-08 22:05
19.278,Unit_400,2022-06-16 22:52
19.152,Unit_401,2022-06-16 22:06
19.067999999999998,Unit_402,2022-06-16 22:51
19.067999999999998,Unit_403,2022-05-11 21:38
18.564,Unit_404,2022-06-16 23:23
19.572,Unit_405,2022-06-16 23:11
19.067999999999998,Unit_406,2022-06-17 0:20
18.857999999999997,Unit_407,2022-06-17 1:54
18.732,Unit_408,2022-06-17 0:04
18.564,Unit_409,2022-05-10 23:59
19.11,Unit_410,2022-05-11 0:18
18.689999999999998,Unit_411,2022-06-17 4:04
19.067999999999998,Unit_412,2022-06-17 1:56
19.152,Unit_413,2022-05-11 1:12
18.816,Unit_414,2022-05-13 22:56
18.9,Unit_415,2022-06-17 3:45
19.278,Unit_416,2022-06-17 6:03
18.732,Unit_417,2022-05-15 11:00
18.732,Unit_418,2022-06-17 7:36
19.362,Unit_419,2022-06-17 7:12
18.564,Unit_420,2022-06-17 10:35
19.488,Unit_421,2022-05-12 7:39
19.278,Unit_422,2022-06-17 10:49
18.732,Unit_423,2022-06-17 11:59
19.152,Unit_424,2022-06-17 19:17
18.816,Unit_425,2022-06-17 18:05
19.067999999999998,Unit_426,2022-05-02 6:38
19.235999999999997,Unit_427,2022-05-03 4:43
18.732,Unit_428,2022-05-04 9:50
18.312,Unit_429,2022-06-21 4:54
18.605999999999998,Unit_430,2022-06-21 10:12
19.194,Unit_431,2022-06-22 2:54
18.48,Unit_432,2022-05-04 20:37
19.362,Unit_433,2022-05-14 23:52
18.9,Unit_434,2022-05-15 3:16
19.067999999999998,Unit_435,2022-05-15 17:33
19.278,Unit_436,2022-05-16 3:28
19.278,Unit_437,2022-05-16 8:21
18.522,Unit_438,2022-05-11 2:45
19.194,Unit_439,2022-05-11 23:10
18.816,Unit_440,2022-06-26 8:12
19.278,Unit_441,2022-06-26 11:28
18.564,Unit_442,2022-06-26 14:22
19.278,Unit_443,2022-07-01 17:32
18.689999999999998,Unit_444,2022-07-01 17:48
19.194,Unit_445,2022-07-01 19:01
18.857999999999997,Unit_446,2022-07-01 18:31
19.235999999999997,Unit_447,2022-07-01 20:23
19.194,Unit_448,2022-07-01 19:19
18.522,Unit_449,2022-07-01 22:56
17.976,Unit_450,2022-07-02 15:13
18.564,Unit_451,2022-07-02 18:50
18.984,Unit_452,2022-07-02 22:33
19.067999999999998,Unit_453,2022-07-02 23:04
19.152,Unit_454,2022-07-03 1:40
18.9,Unit_455,2022-07-03 2:40
18.732,Unit_456,2022-07-03 2:42
18.942,Unit_457,2022-07-03 1:17
19.194,Unit_458,2022-07-03 4:50
18.942,Unit_459,2022-07-03 9:04
18.522,Unit_460,2022-07-03 4:31
18.857999999999997,Unit_461,2022-07-03 5:11
18.816,Unit_462,2022-07-03 11:49
19.278,Unit_463,2022-07-04 0:08
18.984,Unit_464,2022-07-04 2:07
18.942,Unit_465,2022-07-04 3:39
18.984,Unit_466,2022-07-04 3:37
18.438,Unit_467,2022-07-04 5:03
19.194,Unit_468,2022-01-04 9:10
19.11,Unit_469,2022-01-04 13:32
19.067999999999998,Unit_470,2022-01-03 13:12
19.194,Unit_471,2022-01-03 13:50
18.9,Unit_472,2022-01-03 16:47
19.278,Unit_473,2022-01-03 18:14
18.984,Unit_474,2022-01-05 18:51
18.605999999999998,Unit_475,2022-01-03 16:26
19.32,Unit_476,2022-01-03 18:04
19.067999999999998,Unit_477,2022-01-04 8:39
18.816,Unit_478,2022-01-03 18:36
18.816,Unit_479,2022-01-03 18:35
18.689999999999998,Unit_480,2022-01-04 8:32
18.816,Unit_481,2022-01-06 14:14
18.857999999999997,Unit_482,2022-01-06 18:09
19.235999999999997,Unit_483,2022-05-14 2:39
18.984,Unit_484,2022-01-10 21:14
19.572,Unit_485,2022-01-11 23:37
19.152,Unit_486,2022-01-11 21:21
19.194,Unit_487,2022-01-11 19:35
19.235999999999997,Unit_488,2022-01-11 20:32
19.067999999999998,Unit_489,2022-01-07 16:14
18.942,Unit_490,2022-01-07 15:57
18.732,Unit_491,2022-01-07 16:10
19.11,Unit_492,2022-01-08 2:09
18.48,Unit_493,2022-01-14 6:01
19.194,Unit_494,2022-01-14 13:04
18.942,Unit_495,2022-01-14 14:16
18.9,Unit_496,2022-01-14 19:00
18.48,Unit_497,2022-01-14 19:19
18.9,Unit_498,2022-01-14 19:49
18.605999999999998,Unit_499,2022-01-14 19:09
19.445999999999998,Unit_500,2022-01-14 18:47
19.152,Unit_501,2022-01-15 6:29
19.152,Unit_502,2022-01-15 8:23
18.438,Unit_503,2022-01-15 7:35
19.278,Unit_504,2022-01-14 8:38
18.522,Unit_505,2022-01-14 7:22
19.194,Unit_506,2022-01-14 7:42
19.32,Unit_507,2022-01-14 9:09
19.11,Unit_508,2022-01-15 19:27
18.564,Unit_509,2022-01-15 20:30
19.278,Unit_510,2022-01-15 22:46
19.235999999999997,Unit_511,2022-01-16 3:49
18.395999999999997,Unit_512,2022-01-16 5:48
19.404,Unit_513,2022-01-16 6:06
19.067999999999998,Unit_514,2022-01-16 10:54
19.278,Unit_515,2022-01-16 11:47
19.235999999999997,Unit_516,2022-01-15 3:42
18.648,Unit_517,2022-01-16 14:16
19.152,Unit_518,2022-01-14 3:43
19.362,Unit_519,2022-01-14 3:49
18.689999999999998,Unit_520,2022-01-14 10:16
18.816,Unit_521,2022-01-17 2:58
19.278,Unit_522,2022-01-17 4:29
19.152,Unit_523,2022-01-15 16:06
18.648,Unit_524,2022-01-15 17:49
18.816,Unit_525,2022-01-15 16:53
18.689999999999998,Unit_526,2022-01-14 11:13
19.026,Unit_527,2022-01-14 13:33
19.026,Unit_528,2022-01-17 8:43
19.11,Unit_529,2022-01-18 1:29
18.857999999999997,Unit_530,2022-01-18 5:12
19.362,Unit_531,2022-01-17 1:34
19.362,Unit_532,2022-01-18 4:37
19.278,Unit_533,2022-01-17 10:03
19.32,Unit_534,2022-01-17 10:54
19.278,Unit_535,2022-01-17 10:48
18.395999999999997,Unit_536,2022-01-19 1:05
19.235999999999997,Unit_537,2022-01-18 0:08
19.278,Unit_538,2022-01-19 2:17
18.648,Unit_539,2022-01-19 3:27
18.564,Unit_540,2022-01-18 4:56
18.732,Unit_541,2022-01-19 7:06
18.564,Unit_542,2022-01-19 7:33
19.32,Unit_543,2022-01-19 7:01
18.984,Unit_544,2022-01-19 6:57
18.438,Unit_545,2022-01-19 6:43
19.235999999999997,Unit_546,2022-01-19 7:25
18.816,Unit_547,2022-01-19 16:51
18.648,Unit_548,2022-01-19 18:03
18.816,Unit_549,2022-01-20 10:11
19.152,Unit_550,2022-01-19 19:01
19.152,Unit_551,2022-01-20 7:31
18.984,Unit_552,2022-01-20 8:24
18.857999999999997,Unit_553,2022-01-20 9:46
19.362,Unit_554,2022-01-20 11:04
18.984,Unit_555,2022-01-20 10:16
18.942,Unit_556,2022-01-14 13:35
19.067999999999998,Unit_557,2022-01-14 11:23
18.942,Unit_558,2022-01-20 17:12
18.648,Unit_559,2022-01-21 7:36
18.857999999999997,Unit_560,2022-01-18 13:01
18.438,Unit_561,2022-01-18 16:20
18.522,Unit_562,2022-01-18 14:26
18.9,Unit_563,2022-01-18 15:52
19.235999999999997,Unit_564,2022-01-18 16:24
19.194,Unit_565,2022-01-17 0:46
19.235999999999997,Unit_566,2022-01-16 23:17
19.32,Unit_567,2022-01-23 13:05
19.194,Unit_568,2022-01-15 4:59
18.438,Unit_569,2022-01-17 6:35
18.9,Unit_570,2022-01-17 16:07
19.32,Unit_571,2022-01-17 19:01
19.152,Unit_572,2022-01-16 0:41
19.235999999999997,Unit_573,2022-01-15 19:34
19.152,Unit_574,2022-01-15 21:03
19.235999999999997,Unit_575,2022-01-15 20:46
18.648,Unit_576,2022-01-15 22:01
18.564,Unit_577,2022-01-17 18:37
19.32,Unit_578,2022-01-16 6:08
19.194,Unit_579,2022-01-18 22:52
19.026,Unit_580,2022-01-18 22:43
